departamento,municipio,poblacion,Fallecidos,Sintomas,Muestras,Vacunados
BAJA VERAPAZ,CUBULCO,59496,7,29,59,964
BAJA VERAPAZ,EL CHOL,10229,1,9,33,270
BAJA VERAPAZ,GRANADOS,14380,4,107,125,212
BAJA VERAPAZ,PURULHA,64292,1,80,146,221
BAJA VERAPAZ,RABINAL,45937,12,150,248,887
BAJA VERAPAZ,SALAMA,70066,31,707,974,1445
BAJA VERAPAZ,SAN JERONIMO,27591,11,270,332,402
BAJA VERAPAZ,SAN MIGUEL CHICAJ,35895,11,181,282,347

